GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weathertask,weathertask.apiwork,APIAdapter,217,0,20,0,57,0,17,0,7,0
weathertask,weathertask.displays,CurrentConditionsDisplay,46,0,2,0,12,0,6,0,5,0
weathertask,weathertask.displays,ForecastDisplay,88,0,2,0,13,0,7,0,6,0
weathertask,weathertask.displays,StatisticsDisplay,90,0,2,0,17,0,6,0,5,0
weathertask,weathertask,Main,57,0,2,0,18,0,3,0,2,0
weathertask,weathertask.weatherstation,WeatherData,52,0,0,0,13,0,8,0,8,0
weathertask,weathertask.weatherstation,WeatherStation,121,0,2,0,30,0,10,0,9,0
